Question Number,Question Status,Question Type,Mandate,Subject,Unit,Panel,Food Sector Area,Deadline,Deadline Type,Acceptance Date,Adoption Date,Clock stop date,Clock start date,Difference (EFSA working days)
EFSA-Q-2008-05709,Finished,Application,M-2008-0126,FL-no 09.932 (5Z)-Octenylpropionate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05708,Finished,Application,M-2008-0126,FL-no 09.922 Ethyl cis-4-heptenoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05707,Finished,Application,M-2008-0126,FL-no 09.921 Ethyl 5-hexenoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05706,Finished,Application,M-2008-0126,FL-no 09.918 cis-4-Decenyl acetate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05705,Finished,Application,M-2008-0126,FL-no 09.917 4-Pentenyl acetate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05704,Finished,Application,M-2008-0126,FL-no 09.846 3-Hexenyl formate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05703,Finished,Application,M-2008-0126,FL-no 09.655 3-Methylbut-3-enyl acetate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05702,Finished,Application,M-2008-0126,FL-no 09.571 Hex-3-enyl valerate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05701,Finished,Application,M-2008-0126,FL-no 09.568 Hex-3-enyl hex-2-enoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05700,Finished,Application,M-2008-0126,FL-no 09.566 Hex-3-enyl but-2-enoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-057,Finished,Application,M-2008-0126,"FL-no 02.114 2-(2,2,3-Trimethylcyclopent-3-enyl)ethan-1-ol",Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,06/03/2008,-,-,-
EFSA-Q-2008-05699,Finished,Application,M-2008-0126,FL-no 09.564 Hex-3(cis)-enyl propionate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05698,Finished,Application,M-2008-0126,FL-no 09.563 Hex-3(cis)-enyl isobutyrate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05697,Finished,Application,M-2008-0126,FL-no 09.559 Hex-3(cis)-enyl 2-methylcrotonate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05696,Finished,Application,M-2008-0126,"FL-no 09.540 Ethyl 2-methylpenta-3,4-dienoate",Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05695,Finished,Application,M-2008-0126,FL-no 08.075 Dec-4-enoic acid,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05694,Finished,Application,M-2008-0126,FL-no 05.224 trans-4-Hexenal,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05693,Finished,Application,M-2008-0126,FL-no 05.208 Z-8-Tetradecenal,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05692,Finished,Application,M-2008-0126,FL-no 05.192 3-Hexenal,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05691,Finished,Application,M-2008-0126,FL-no 05.139 Dec-9-enal,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05690,Finished,Application,M-2008-0126,FL-no 02.249 (4Z)-Hepten-1-ol,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05689,Finished,Application,M-2008-0126,"FL-no 02.243 (E,Z)-3,6-Nonadien-1-ol",Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05688,Finished,Application,M-2008-0126,FL-no 09.925 Nonan-3-yl acetate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,07/07/2007,-,-,-
EFSA-Q-2008-05687,Finished,Application,M-2008-0126,FL-no 09.924 (+/-)-3-Heptyl acetate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,07/07/2007,-,-,-
EFSA-Q-2008-05686,Finished,Application,M-2008-0126,FL-no 09.923 Hept-2-yl butyrate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,07/07/2007,-,-,-
EFSA-Q-2008-05685,Finished,Application,M-2008-0126,FL-no 09.658 1-Methylbutyl butyrate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,07/07/2007,-,-,-
EFSA-Q-2008-05684,Finished,Application,M-2008-0126,FL-no 09.657 1-Methylbutyl acetate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,07/07/2007,-,-,-
EFSA-Q-2008-05683,Finished,Application,M-2008-0126,FL-no 07.249 Undecan-6-one,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,07/07/2007,-,-,-
EFSA-Q-2008-05682,Finished,Application,M-2008-0126,FL-no 07.240 2-Methylheptan-3-one,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,07/07/2007,-,-,-
EFSA-Q-2008-05681,Finished,Application,M-2008-0126,FL-no 07.151 Decan-3-one,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,07/07/2007,-,-,-
EFSA-Q-2008-05680,Finished,Application,M-2008-0126,FL-no 07.123 Geranylacetone,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,07/07/2007,-,-,-
EFSA-Q-2008-05679,Finished,Application,M-2008-0126,"FL-no 07.114 6,10,14-Trimethylpentadeca-5,9,13-trien-2-one",Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,07/07/2007,-,-,-
EFSA-Q-2008-05678,Finished,Application,M-2008-0126,FL-no 07.100 5-Methylhex-5-en-2-one,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,07/07/2007,-,-,-
EFSA-Q-2008-05677,Finished,Application,M-2008-0126,FL-no 07.069 Tetrahydro-pseudo-ionone,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,07/07/2007,-,-,-
EFSA-Q-2008-05676,Finished,Application,M-2008-0126,FL-no 16.039 Potassium 2-(1'-ethoxy)ethoxypropanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05675,Finished,Application,M-2008-0126,FL-no 09.557 3-Oxotetradecanoic acid glyceride,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05674,Finished,Application,M-2008-0126,FL-no 09.556 3-Oxooctanoic acid glyceride,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05673,Finished,Application,M-2008-0126,FL-no 09.555 3-Oxohexanoic acid glyceride,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05672,Finished,Application,M-2008-0126,FL-no 09.554 3-Oxohexadecanoic acid glyceride,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05671,Finished,Application,M-2008-0126,FL-no 09.553 3-Oxododecanoic acid glyceride,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05670,Finished,Application,M-2008-0126,FL-no 09.552 3-Oxodecanoic acid glyceride,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05669,Finished,Application,M-2008-0126,FL-no 09.545 Hex-3-enyl lactate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05668,Finished,Application,M-2008-0126,FL-no 09.544 Glyceryl 5-hydroxydodecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05667,Finished,Application,M-2008-0126,FL-no 09.543 Glyceryl 5-hydroxydecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05666,Finished,Application,M-2008-0126,FL-no 09.491 Butyl-O-butyryllactate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05665,Finished,Application,M-2008-0126,FL-no 09.443 Isopentyl pyruvate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05664,Finished,Application,M-2008-0126,FL-no 09.442 Ethyl pyruvate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05663,Finished,Application,M-2008-0126,FL-no 09.434 Butyl lactate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05662,Finished,Application,M-2008-0126,FL-no 09.433 Ethyl lactate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05661,Finished,Application,M-2008-0126,FL-no 09.263 Glyceryl tripropionate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05660,Finished,Application,M-2008-0126,FL-no 09.211 Glyceryl tributyrate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05659,Finished,Application,M-2008-0126,FL-no 08.019 Pyruvic acid,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05658,Finished,Application,M-2008-0126,FL-no 08.004 Lactic acid,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05657,Finished,Application,M-2008-0126,FL-no 07.001 2-Oxopropanal,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05656,Finished,Application,M-2008-0126,"FL-no 06.098 2,2,4-Trimethyl-1,3-dioxolane",Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05655,Finished,Application,M-2008-0126,"FL-no 06.094 4-Methyl-2-pentyl-1,3-dioxolane",Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05654,Finished,Application,M-2008-0126,"FL-no 06.040 1,2,3-Tris([1'-ethoxy]-ethoxy)propane",Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05653,Finished,Application,M-2008-0126,"FL-no 06.039 1,2-Di((1'-ethoxy)-ethoxy)propane",Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,31/01/2008,-,-,-
EFSA-Q-2008-05652,Finished,Application,M-2008-0126,FL-no 13.128 Furfuryl acetate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05651,Finished,Application,M-2008-0126,FL-no 13.073 Octyl 2-furoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05650,Finished,Application,M-2008-0126,FL-no 13.068 Furfuryl valerate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05649,Finished,Application,M-2008-0126,FL-no 13.067 Furfuryl octanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05648,Finished,Application,M-2008-0126,FL-no 13.062 Furfuryl propionate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05647,Finished,Application,M-2008-0126,FL-no 13.057 Furfuryl isovalerate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05646,Finished,Application,M-2008-0126,FL-no 13.038 2-Phenyl-3-carbethoxyfuran,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05645,Finished,Application,M-2008-0126,FL-no 13.031 2-Benzofurancarboxaldehyde,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05644,Finished,Application,M-2008-0126,FL-no 13.025 Pentyl 2-furoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05643,Finished,Application,M-2008-0126,FL-no 13.019 Furfuryl alcohol,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05642,Finished,Application,M-2008-0126,FL-no 13.018 Furfural,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05641,Finished,Application,M-2008-0126,FL-no 13.005 Hexyl 2-furoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05640,Finished,Application,M-2008-0126,FL-no 13.003 Propyl 2-furoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,09/07/2008,-,-,-
EFSA-Q-2008-05639,Finished,Application,M-2008-0032,FL-no 09.839 Decyl 3-methylbutyrate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05638,Finished,Application,M-2008-0032,FL-no 09.698 Propyl 2-methylbutyrate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05637,Finished,Application,M-2008-0032,FL-no 09.679 Pentyl 2-methylbutyrate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05636,Finished,Application,M-2008-0032,FL-no 09.663 2-Methylbutyl isobutyrate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05635,Finished,Application,M-2008-0032,FL-no 09.585 Isobutyl 2-methylbutyrate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05634,Finished,Application,M-2008-0032,FL-no 09.499 Pentyl isovalerate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05633,Finished,Application,M-2008-0032,FL-no 09.418 Pentyl isobutyrate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05632,Finished,Application,M-2008-0032,FL-no 09.392 Heptyl isovalerate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05631,Finished,Application,M-2008-0032,FL-no 09.387 Heptyl 2-methylbutyrate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05630,Finished,Application,M-2008-0032,FL-no 08.115 4-Methylheptanoic acid,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05629,Finished,Application,M-2008-0032,FL-no 08.097 4-Methylhexanoic acid,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05628,Finished,Application,M-2008-0032,FL-no 08.096 3-Methylhexanoic acid,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05627,Finished,Application,M-2008-0032,FL-no 08.095 8-Methyldecanoic acid,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05626,Finished,Application,M-2008-0032,FL-no 08.094 4-Methyldecanoic acid,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05625,Finished,Application,M-2008-0032,FL-no 05.219 3-Methylhexanal,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05624,Finished,Application,M-2008-0032,FL-no 05.211 6-Methyloctanal,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05623,Finished,Application,M-2008-0032,FL-no 05.169 12-Methyltridecanal,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05622,Finished,Application,M-2008-0032,FL-no 05.167 12-Methyltetradecanal,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05621,Finished,Application,M-2008-0032,FL-no 05.166 4-Methylpentanal,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05620,Finished,Application,M-2008-0032,FL-no 05.164 2-Methylhexanal,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,29/03/2004,04/07/2007,-,-,-
EFSA-Q-2008-05619,Finished,Application,M-2008-0032,FL-no 09.820 Undecyl acetate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05618,Finished,Application,M-2008-0032,"FL-no 09.819 3,5,5-Trimethylhexyl acetate",Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05617,Finished,Application,M-2008-0032,FL-no 09.816 Propyl octanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05616,Finished,Application,M-2008-0032,FL-no 09.814 Propyl hexadecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05615,Finished,Application,M-2008-0032,FL-no 09.813 Propyl dodecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05614,Finished,Application,M-2008-0032,FL-no 09.700 Propyl decanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05613,Finished,Application,M-2008-0032,FL-no 09.682 Pentyl hexadecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05612,Finished,Application,M-2008-0032,FL-no 09.681 Pentyl dodecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05611,Finished,Application,M-2008-0032,FL-no 09.677 Octyl hexanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05610,Finished,Application,M-2008-0032,FL-no 09.666 2-Methylbutyl tetradecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05609,Finished,Application,M-2008-0032,FL-no 09.665 2-Methylbutyl propionate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05608,Finished,Application,M-2008-0032,FL-no 09.664 2-Methylbutyl octanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05607,Finished,Application,M-2008-0032,FL-no 09.662 2-Methylbutyl hexanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05606,Finished,Application,M-2008-0032,FL-no 09.661 2-Methylbutyl formate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05605,Finished,Application,M-2008-0032,FL-no 09.660 2-Methylbutyl decanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05604,Finished,Application,M-2008-0032,FL-no 09.659 2-Methylbutyl butyrate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05603,Finished,Application,M-2008-0032,FL-no 09.651 Methyl octadecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05602,Finished,Application,M-2008-0032,FL-no 09.642 Methyl formate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05601,Finished,Application,M-2008-0032,FL-no 09.602 Isopentyl tetradecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05600,Finished,Application,M-2008-0032,FL-no 09.600 Isopentyl hexadecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-056,Finished,Application,M-2008-0126,FL-no 02.011 Citronellol,Food Ingredients and Packaging,CEF,Flavourings,31/12/2009,Negotiated Deadline,12/04/2004,26/11/2009,-,-,-
EFSA-Q-2008-05599,Finished,Application,M-2008-0032,FL-no 09.599 Isopentyl heptanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05598,Finished,Application,M-2008-0032,FL-no 09.598 Isopentyl decanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05597,Finished,Application,M-2008-0032,FL-no 09.594 Isobutyl tetradecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05596,Finished,Application,M-2008-0032,FL-no 09.593 Isobutyl octanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05595,Finished,Application,M-2008-0032,FL-no 09.592 Isobutyl octadecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05594,Finished,Application,M-2008-0032,FL-no 09.589 Isobutyl hexadecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05593,Finished,Application,M-2008-0032,FL-no 09.588 Isobutyl dodecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05592,Finished,Application,M-2008-0032,FL-no 09.587 Isobutyl decanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05591,Finished,Application,M-2008-0032,FL-no 09.583 Hexyl valerate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05590,Finished,Application,M-2008-0032,FL-no 09.582 Hexyl tetradecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05589,Finished,Application,M-2008-0032,FL-no 09.579 Hexyl dodecanoate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
EFSA-Q-2008-05588,Finished,Application,M-2008-0032,FL-no 09.574 Hexadec-1-yl acetate,Food Ingredients and Packaging,AFC,Flavourings,19/12/2008,Negotiated Deadline,12/04/2004,03/07/2007,-,-,-
